file,split,modality,field,axcodes,reconstruction_mode,mae,mse,ssim,ssim_sagittal,ssim_coronal,ssim_axial,noise_score,blur_score,banding_score,bias_score,artifact_type
P_T1W_0.1T_0006.nii.gz,Training_prospective,T1W,0.1T,LAS,full,0.05460472032427788,0.024981122463941574,0.9025491500894228,0.9061163738369942,0.9010063000023365,0.9058125577867031,0.03239097073674202,1.022852925306743,0.2674800455570221,0.6758666038513184,banding_ghosting
P_T1W_3T_0006.nii.gz,Training_prospective,T1W,3T,LAS,full,0.06766629219055176,0.03745308518409729,0.8695262720187505,0.8739027492702007,0.8698017634451389,0.8745017722249031,0.06162115931510925,0.7582966089313304,0.2713460326194763,0.6718989610671997,banding_ghosting
P_T1W_7T_0006.nii.gz,Training_prospective,T1W,7T,LAS,full,0.07478377968072891,0.04868006706237793,0.862993615369002,0.8677581213414669,0.8632104434072971,0.8681838028132915,0.07007315754890442,0.6931486566951456,0.23152051866054535,0.6528468728065491,clean
P_T2W_0.1T_0006.nii.gz,Training_prospective,T2W,0.1T,LAS,full,0.05624094977974892,0.0348752923309803,0.9039853165547053,0.9053954780101776,0.9025271311402321,0.9072897210717201,0.04491882771253586,0.9372318709699264,0.2820577919483185,0.6760899424552917,banding_ghosting
P_T2W_3T_0006.nii.gz,Training_prospective,T2W,3T,LAS,full,0.07487074285745621,0.05211441591382027,0.8438041508197784,0.8481385111808777,0.8468795716762543,0.8490571044385433,0.08950325101613998,0.661495923076578,0.16614769399166107,0.6034063696861267,noise
P_T2W_7T_0006.nii.gz,Training_prospective,T2W,7T,LAS,full,0.057393334805965424,0.043243397027254105,0.8816289529204369,0.8856647126376629,0.8830309025943279,0.885628841817379,0.0683375746011734,0.9694082581037257,0.17866627871990204,0.642467737197876,clean
R_T1W_0.1T_0001.nii.gz,Training_retrospective,T1W,0.1T,LAS,full,0.04810573533177376,0.026394382119178772,0.9164376681049665,0.9169458858668804,0.9128387868404388,0.9179036617279053,0.0353635810315609,1.1705204734329209,0.2108176201581955,0.6480456590652466,blur
R_T1W_3T_0329.nii.gz,Training_retrospective,T1W,3T,LAS,full,0.07046277076005936,0.04152562841773033,0.8624120776851972,0.8675142116844654,0.8642977997660637,0.8671619929373264,0.0714782103896141,0.7110532220277476,0.20033548772335052,0.6381504535675049,clean
R_T1W_7T_0822.nii.gz,Training_retrospective,T1W,7T,LAS,full,0.06618954241275787,0.040153469890356064,0.8757520864407221,0.8809181153774261,0.8750585801899433,0.8787371292710304,0.06863392889499664,0.7699012537165111,0.2288024127483368,0.6670048832893372,bias_nonuniformity
R_T2W_0.1T_0001.nii.gz,Training_retrospective,T2W,0.1T,LAS,full,0.046353258192539215,0.034037623554468155,0.9286962499221166,0.9289839863777161,0.9254827462136745,0.9315142035484314,0.039646539837121964,1.2158797832301025,0.24112166464328766,0.6635226011276245,blur
R_T2W_3T_0329.nii.gz,Training_retrospective,T2W,3T,LAS,full,0.07758676260709763,0.05486634001135826,0.8457639788587888,0.8497958891093731,0.8467698581516743,0.8483649604022503,0.09923452883958817,0.633825559309044,0.15114259719848633,0.5919647216796875,noise
R_T2W_7T_0738.nii.gz,Training_retrospective,T2W,7T,LAS,full,0.055420901626348495,0.04345956817269325,0.890916662911574,0.8955326452851295,0.891236886382103,0.8932926021516323,0.07656960189342499,1.0330980744645992,0.15728282928466797,0.6264386773109436,blur
